2024-02-03 19:14:54 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-03 19:14:56 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-02-03 19:14:56 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-02-03 19:14:56 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-02-03 19:14:56 [main] INFO  h.p.lernenwor.LernenworApplication - Started LernenworApplication in 2.578 seconds (process running for 2.869)
2024-02-03 19:15:06 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-02-03 19:15:06 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-02-03 19:15:06 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-02-03 19:15:14 [http-nio-8080-exec-4] INFO  h.p.lernenwor.service.UserService - The new user User{id=1, name='name', email='emaiL@email.com', password='123456'} has been successfully saved
2024-02-03 19:15:44 [http-nio-8080-exec-5] INFO  h.p.lernenwor.service.UserService - Attempt to create a user with an existing name: UserCreation[name=name, email=emaiL@email.com, password=123456, passwordConfirm=123456]
2024-02-03 19:33:23 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-02-03 19:33:23 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-02-03 19:33:23 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-02-03 19:33:25 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-03 19:33:25 [main] INFO  h.p.lernenwor.LernenworApplication - Starting LernenworApplication using Java 19.0.1 with PID 6411 (/home/prozex/projects/lernenwor/build/classes/java/main started by prozex in /home/prozex/projects/lernenwor)
2024-02-03 19:33:25 [main] INFO  h.p.lernenwor.LernenworApplication - No active profile set, falling back to 1 default profile: "default"
2024-02-03 19:33:26 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-02-03 19:33:26 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 1 JPA repository interfaces.
2024-02-03 19:33:26 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-02-03 19:33:26 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-02-03 19:33:26 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-02-03 19:33:26 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-02-03 19:33:26 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-02-03 19:33:26 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 528 ms
2024-02-03 19:33:26 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-02-03 19:33:26 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:37954f6f-8135-4536-bdd7-bfa58b25b93f user=SA
2024-02-03 19:33:26 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-02-03 19:33:26 [main] INFO  liquibase.database - Set default schema name to PUBLIC
2024-02-03 19:33:26 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-02-03 19:33:26 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.6.Final
2024-02-03 19:33:26 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-02-03 19:33:26 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-02-03 19:33:26 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-02-03 19:33:26 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-02-03 19:33:26 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-02-03 19:33:26 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-02-03 19:33:27 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-02-03 19:33:27 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-02-03 19:33:27 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-02-03 19:33:27 [main] INFO  h.p.lernenwor.LernenworApplication - Started LernenworApplication in 1.763 seconds (process running for 1.909)
2024-02-03 19:33:33 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-02-03 19:33:33 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-02-03 19:33:33 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-02-03 19:33:34 [http-nio-8080-exec-1] INFO  h.p.l.controller.UserController - {passwordConfirm=Fields password and passwordConfirm must be equal}
2024-02-03 19:41:46 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-02-03 19:41:46 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-02-03 19:41:46 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-02-03 19:41:48 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-03 19:41:48 [main] INFO  h.p.lernenwor.LernenworApplication - Starting LernenworApplication using Java 19.0.1 with PID 6884 (/home/prozex/projects/lernenwor/build/classes/java/main started by prozex in /home/prozex/projects/lernenwor)
2024-02-03 19:41:48 [main] INFO  h.p.lernenwor.LernenworApplication - No active profile set, falling back to 1 default profile: "default"
2024-02-03 19:41:49 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-02-03 19:41:49 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 1 JPA repository interfaces.
2024-02-03 19:41:49 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-02-03 19:41:49 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-02-03 19:41:49 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-02-03 19:41:49 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-02-03 19:41:49 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-02-03 19:41:49 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 564 ms
2024-02-03 19:41:49 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-02-03 19:41:49 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:29c75c28-8c75-465d-b8fe-80a21f92665e user=SA
2024-02-03 19:41:49 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-02-03 19:41:49 [main] INFO  liquibase.database - Set default schema name to PUBLIC
2024-02-03 19:41:49 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-02-03 19:41:49 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.6.Final
2024-02-03 19:41:49 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-02-03 19:41:49 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-02-03 19:41:50 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-02-03 19:41:50 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-02-03 19:41:50 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-02-03 19:41:50 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-02-03 19:41:50 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-02-03 19:41:50 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-02-03 19:41:50 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-02-03 19:41:50 [main] INFO  h.p.lernenwor.LernenworApplication - Started LernenworApplication in 2.027 seconds (process running for 2.165)
2024-02-03 19:42:04 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-02-03 19:42:04 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-02-03 19:42:04 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-02-03 19:42:04 [http-nio-8080-exec-1] INFO  h.p.l.controller.UserController - Attempt to register a new user: UserCreation {name=name, email=emaiL@email.com}
2024-02-03 19:42:04 [http-nio-8080-exec-1] INFO  h.p.l.controller.UserController - The attempt failed: {passwordConfirm=Fields password and passwordConfirm must be equal}
2024-02-03 19:42:35 [http-nio-8080-exec-2] INFO  h.p.l.controller.UserController - Attempt to register a new user: UserCreation {name=name, email=emaiL@email.com}
2024-02-03 19:42:35 [http-nio-8080-exec-2] INFO  h.p.lernenwor.service.UserService - The new user User {id=1, name='name', email='emaiL@email.com', password='123456'} has been successfully saved
2024-02-03 20:42:54 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-02-03 20:42:54 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-02-03 20:42:54 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-02-04 23:56:50 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-04 23:56:50 [main] INFO  h.p.lernenwor.LernenworApplication - Starting LernenworApplication using Java 19.0.2 with PID 9917 (/home/dima/Projects/lernenwor/build/classes/java/main started by dima in /home/dima/Projects/lernenwor)
2024-02-04 23:56:50 [main] INFO  h.p.lernenwor.LernenworApplication - No active profile set, falling back to 1 default profile: "default"
2024-02-04 23:56:51 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-02-04 23:56:51 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 49 ms. Found 1 JPA repository interfaces.
2024-02-04 23:56:51 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-02-04 23:56:51 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-02-04 23:56:51 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-02-04 23:56:51 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-02-04 23:56:51 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-02-04 23:56:51 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 961 ms
2024-02-04 23:56:51 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-02-04 23:56:51 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:633fe77e-c8b3-4bad-a9e3-89bd2a67170a user=SA
2024-02-04 23:56:51 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-02-04 23:56:51 [main] INFO  liquibase.database - Set default schema name to PUBLIC
2024-02-04 23:56:52 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-02-04 23:56:52 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.6.Final
2024-02-04 23:56:52 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-02-04 23:56:52 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-02-04 23:56:52 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-02-04 23:56:52 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-02-04 23:56:53 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-02-04 23:56:53 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-02-04 23:56:53 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-02-04 23:56:53 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: aa3fe1eb-26b0-4421-9704-76d028695c96

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2024-02-04 23:56:53 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@771ede0d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1fd73dcb, org.springframework.security.web.context.SecurityContextHolderFilter@373c8f35, org.springframework.security.web.header.HeaderWriterFilter@79aa675b, org.springframework.security.web.csrf.CsrfFilter@5e97da56, org.springframework.security.web.authentication.logout.LogoutFilter@52c2d1e8, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2e04c89d, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@3bf306d3, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@54c697c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@588614f9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@e0c03bd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@74120029, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@62075e3d, org.springframework.security.web.access.ExceptionTranslationFilter@2f650dae, org.springframework.security.web.access.intercept.AuthorizationFilter@2c989d82]
2024-02-04 23:56:53 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-02-04 23:56:53 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-02-04 23:56:53 [main] INFO  h.p.lernenwor.LernenworApplication - Started LernenworApplication in 3.325 seconds (process running for 3.543)
2024-02-04 23:58:54 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-02-04 23:58:54 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-02-04 23:58:54 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
